Borehole_I;Depth;CALI;RDEP;GR;RHOB;NPHI;SP;DTC;Lithology
BC-002;0;12.63321736;0.551347605;36.67287269;2.610861562;0.228406858;-7.946968773;109.6498419;limestone
BC-002;10.01001001;13.93538047;0.655079089;44.51815512;2.679214966;0.281278614;2.041253751;105.7330597;limestone
BC-002;20.02002002;12.51133924;0.536550197;53.60845429;2.331116689;0.229717948;-10.86703877;117.8011904;limestone
BC-002;30.03003003;12.16920721;0.775685355;50.5360139;2.456735371;0.434241628;-8.608065924;107.4774825;limestone
BC-002;40.04004004;12.91250256;0.873211868;48.31580913;2.827512111;0.25414332;-4.998702554;84.20882782;limestone
BC-002;50.05005005;12.4562452;0.447717439;43.85051919;2.344769651;0.239135535;-4.249936638;89.68191864;limestone
BC-002;60.06006006;13.63606809;0.64656681;61.14376704;2.307486355;0.292749929;-2.273124628;108.9518321;limestone
BC-002;70.07007007;13.2686063;0.737408372;56.52248816;2.362102539;0.307129516;-5.741703567;112.7575585;limestone
BC-002;80.08008008;10.46499837;0.774864768;47.71712123;2.509778062;0.38400205;-17.18543836;94.41718533;limestone
BC-002;90.09009009;11.28345336;0.499818867;50.31087863;2.683231654;0.278411751;-9.857764868;101.8756377;limestone
BC-002;100.1001001;13.57363756;0.690090983;36.86959642;2.36332191;0.372057486;-4.499506517;102.285945;limestone
BC-002;110.1101101;11.63104779;0.496166581;41.78241169;2.340500146;0.310167123;-7.077810828;101.4574454;limestone
BC-002;120.1201201;11.51819684;0.515279734;50.52043615;2.498862062;0.301295253;-15.64741247;87.44598441;limestone
BC-002;130.1301301;15.5679608;0.734318784;73.81392012;2.437383023;0.292972834;-12.03678184;113.5002656;limestone
BC-002;140.1401401;10.43364475;0.749202984;43.18771652;2.521509996;0.279619457;-18.06329789;94.92143487;limestone
BC-002;150.1501502;17.04711218;0.554860346;50.24981781;2.173635433;0.359095234;-20.33718911;92.01586591;limestone
BC-002;160.1601602;10.96346575;0.499347945;45.84479571;2.62310016;0.338380133;-14.32441304;90.95560783;limestone
BC-002;170.1701702;14.98966885;0.465042414;23.64117838;2.655186857;0.302032712;-10.5428563;103.3079862;limestone
BC-002;180.1801802;12.41766874;0.460760992;38.06448445;2.552252711;0.25613357;-6.229887734;103.751504;limestone
